Date,S&P500,Eurostoxx 50,Hang Seng,MSCI EM,SMI,US T 10-year Yield,German Gov 10-year yield,Oil futures,Gold,EURUSD,USDJPY,US IG Bonds,US HY Bonds,USDCHF
2001-04-03,0.22675623933227146,0.23190051543073117,0.2991289007155437,0.19293414916553808,0.1577723448700531,85.48992508381691,54.456832701585256,0.428271564833468,0.12205619832341356,0.1276380407922886,0.10572000500589462,0.04065711641868185,0.03092144026487919,0.11810138960928329
2001-04-04,0.22674674751619903,0.23151674367229128,0.3002343253476483,0.19317601633338766,0.15637649268860557,85.41601872588102,53.63094716323308,0.42936658740409084,0.12215314204370559,0.12699866636794774,0.1055848183957543,0.04064933498488035,0.031151956279585887,0.1173511939282416
2001-04-09,0.22537694224200305,0.23200615080905246,0.30001651599336204,0.1931486622256365,0.15688890550436269,85.52371493763029,53.64057594813658,0.42944294477367145,0.1216834086741002,0.12653707907215994,0.1044880766672506,0.0406996916477311,0.03115165362859789,0.11704219479480049
2001-04-10,0.2255936784281816,0.23251134953174876,0.29733033788091523,0.1930569529378405,0.15643543635953336,86.97577535157674,53.1782376294149,0.4313598935113638,0.12170135484677204,0.12676916093550072,0.10465600269707542,0.04119735360441387,0.031177004112363547,0.11722483070971583
2001-04-11,0.22528481503079792,0.2313914357780333,0.29996856323547577,0.1934519701244888,0.1555242129889233,86.99639411861511,53.115262004144576,0.430952828263321,0.12177088007310342,0.12676902984467356,0.10458718687699313,0.04116079987619335,0.031198171335673167,0.1173107855813509
2001-04-12,0.2258679371081876,0.23019096390006838,0.30069722765080614,0.1933276535956326,0.15517361411874728,87.09411495938026,53.102101379477766,0.4303188810861177,0.12165129207591241,0.1267569682970614,0.10505916310289089,0.04116002436428089,0.031225089417154607,0.11723932366261522
2001-04-18,0.2289421831994786,0.23089070449453747,0.30190582706805635,0.1947209791427862,0.15522039940987545,87.0509478976562,53.08617101832127,0.4300628590184123,0.12124723035338124,0.1260372548405298,0.10547954078858403,0.04073891748738044,0.03127670617055465,0.11610107717684956
2001-04-19,0.22846352244174606,0.23088578504922222,0.3029397013956614,0.19530945982833284,0.1547672354007683,88.25311028005505,53.42939881534251,0.4292289192776298,0.12125844311841544,0.126731702563384,0.1057051700003135,0.04092846126801635,0.03130523797874394,0.11718580241071117
2001-04-20,0.2285435415900718,0.23099171190143478,0.3030032373156366,0.19567906942931357,0.15482329047902937,88.23619041416485,52.88553199526605,0.42900088120776675,0.11819670023885229,0.12656150108930808,0.10639003346450901,0.040721544321723056,0.03133413691802631,0.1170827742095172
2001-04-23,0.22808381751567192,0.23118961824358558,0.30142237221008283,0.19569744900642255,0.15506248114621293,88.64891561121208,52.96713690612199,0.4291922711223479,0.11758858931447677,0.1266989582536057,0.10686757987423469,0.04088600785788471,0.03138802143113453,0.11722051912641215
2001-04-24,0.2283402223225257,0.23138113786121342,0.30125884836541045,0.1951598991139551,0.15553628174821,88.62377865689474,52.81005503074766,0.4291008097172841,0.1173068203252934,0.12638847382005813,0.10714369798665606,0.040638497018973554,0.0314238094464546,0.11669826088457864
2001-04-25,0.22875665615555762,0.23022934817326376,0.2998910795345573,0.19522120899988787,0.15486187968148338,88.78202861828326,52.7549958926495,0.4293996848565071,0.1157040782564808,0.12640097538693734,0.10714005196735168,0.040625034882856736,0.0314378537096502,0.11666820929210756
2001-04-26,0.2286365501891809,0.2304198289784245,0.2991110241453557,0.19560242256356358,0.15371692430470402,88.97165737881387,52.84632252091022,0.43146647711633324,0.11592619218231827,0.12648073908941357,0.10743870832861263,0.04087380277184352,0.03148972881120756,0.11649781914596394
2001-04-27,0.22918189116635562,0.23074479334177306,0.29920316468796665,0.19544274598229175,0.15321741881991044,90.0576625814895,53.28348942607198,0.4310749454971385,0.11577325419332171,0.12709722317956693,0.10718163188584755,0.04126519024305325,0.03148954765285044,0.11712858449887165
2001-05-03,0.22764470537191397,0.2315373014279898,0.29846155750348285,0.19534094050254386,0.15346327569872317,90.09933606062653,53.33028968240806,0.43172581085885187,0.11477709614967767,0.12711342667458805,0.10710217134353335,0.04125877040928993,0.03156799078647164,0.11715341523263514
