,Rolling_average_correlation
1993-01-08,0.0057737982209172065
1993-01-11,0.005251192908240577
1993-01-12,0.005146750559084802
1993-01-13,0.0049617302367591645
1993-01-14,0.0061028012903874985
1993-01-15,0.006579574030526158
1993-01-20,0.006663745700508739
1993-01-21,0.007034992092321852
1993-01-29,0.007323897090540717
1993-02-02,0.007431101225649011
1993-02-03,0.007293066312376373
1993-02-04,0.008317306803111556
1993-02-05,0.008114273642362125
1993-02-08,0.008202951968702809
1993-02-09,0.003043431381142699
1993-02-10,0.003608297324485637
1993-02-11,0.0029533328963862035
1993-02-12,0.000520118132516946
1993-02-17,0.0009027134726335568
1993-02-18,0.0008325914447466214
1993-02-19,0.0005161431719879721
1993-02-22,0.0004043227886690907
1993-03-02,0.00021730958922211378
1993-03-03,0.0002640984097026657
1993-03-04,6.781180250091924e-05
1993-03-05,0.0003865199842791463
1993-03-08,0.00021252296322140748
1993-03-09,0.0005860574515635284
1993-03-10,0.0005759536699502158
1993-03-11,0.0006425880894729163
1993-03-12,0.0014890459424920992
1993-03-15,0.0008811597418061465
1993-03-16,0.0007844351948292123
1993-03-17,0.0007426260264312445
1993-03-18,0.00047572549580287746
1993-03-19,0.0012789411087120398
1993-03-22,0.001488523616801141
1993-03-31,0.0011988007439243523
1993-04-01,0.001976912790370192
1993-04-02,0.001569414503791105
1993-04-07,0.001708816032316539
1993-04-08,0.0018361722344685603
1993-04-14,0.002718866558927736
1993-04-15,0.0029568195138124304
1993-04-16,0.0029241856305916233
1993-04-19,0.002590114911675603
1993-04-20,0.002540441467978129
1993-04-30,0.002365568955184374
1993-05-05,0.00242700413013335
1993-05-06,0.002397980310923182
1993-05-07,0.0024860570691752956
1993-05-10,0.002199837703842951
1993-05-11,0.0020762200224425883
1993-05-12,0.002157315695442846
1993-05-13,0.0012230354696321432
1993-05-14,0.0016160514773385245
1993-05-17,0.002130246666889758
1993-05-18,0.00216058243007256
1993-05-19,0.00181766548948684
1993-05-28,0.0025836609634735572
1993-06-02,0.0030515632587931898
1993-06-07,0.0021786053501593387
1993-06-08,0.002141152048591268
1993-06-09,0.002097445612032925
1993-06-16,0.002703383024173875
1993-06-17,0.0027774152917709456
1993-06-18,0.0022997000365494653
1993-06-21,0.0017631782538885953
1993-06-22,0.0010215373377631975
1993-06-23,0.0009447589398375806
1993-06-30,0.0010996266114389173
1993-07-01,9.77371219313192e-05
1993-07-02,-0.00046324075429948275
1993-07-07,-0.0002769794430409539
1993-07-08,-0.001481691674129583
1993-07-09,-0.001582621013416048
1993-07-12,-0.0017212163117134869
1993-07-13,-0.0016882837149443752
1993-07-14,-0.0015862135736304044
1993-07-15,-0.001441015332578878
1993-07-16,-0.0006479195528179182
1993-07-19,-0.0017862662587700862
1993-07-20,-0.00048583224084632623
1993-07-30,-0.001009420205934567
1993-08-03,-0.0009015986127572087
1993-08-04,-0.0007194907639663148
1993-08-05,0.00037411319075860864
1993-08-06,0.0005968219379081377
1993-08-09,0.0019865096569310846
1993-08-10,0.0017947231490778232
1993-08-11,0.0021427647384179103
1993-08-12,0.0020447470900011116
1993-08-13,0.001890004927434725
1993-08-16,0.0014793820967183493
1993-08-17,0.0011991095205000988
1993-08-18,0.0016438491820793674
1993-08-19,0.0019514178852198362
1993-08-20,0.0013637848359114332
1993-08-23,0.0012923455350128904
1993-08-24,0.0006077207451261552
1993-08-25,0.0006843912869365927
1993-08-26,0.0006218801299618242
1993-08-27,0.0005438839935253684
1993-09-01,0.0006694324337127687
1993-09-02,0.0005762530022236453
1993-09-03,0.00047415888089640754
1993-09-08,0.0004892521219737899
1993-09-09,0.0003046027150223661
1993-09-10,0.00023602931776058365
1993-09-13,0.0003064806902954243
1993-09-14,0.0001066523971903369
1993-09-15,-0.0002625154628642278
1993-09-16,-0.001216516364903486
1993-09-21,-0.0005973104539214106
1993-09-22,-0.003279117910220618
1993-09-23,-0.0025540933083319853
1993-09-24,-0.002163396563561728
1993-09-27,-0.003302141850890171
1993-09-28,-0.003348503420163377
1993-09-29,-0.0035616646652292276
1993-09-30,-0.0037749828367244966
1993-10-05,-0.003633536149480758
1993-10-06,-0.0033514936310079756
1993-10-07,-0.0036366265667701985
1993-10-08,-0.0030885506951080534
1993-10-13,-0.0029831298221731843
1993-10-14,-0.002995460868793629
1993-10-15,-0.0022273739737572154
1993-10-18,-0.0029447242886219247
1993-10-19,-0.002470711664406774
1993-10-20,-0.0021854254062040443
1993-10-21,-0.0024920598803533107
1993-10-22,-0.002253577006319693
1993-10-25,-0.002465775176692797
1993-10-26,-0.0022995829339792656
1993-10-27,-0.0018176518479290958
1993-10-28,-0.0017893900148461541
1993-10-29,-0.0012532273517238254
1993-11-02,-0.0012097720869727912
1993-11-03,-0.001555414818177722
1993-11-04,-0.0014611616867694413
1993-11-05,-0.0003926274911666404
1993-11-08,-0.0004242125196195551
1993-11-09,-0.0007993078766479722
1993-11-10,-0.0004549565288631477
1993-11-15,-0.00011930266691317061
1993-11-16,3.56192781152276e-05
1993-11-19,0.00010838627950913318
1993-11-22,-0.000360628087616687
1993-11-23,0.00034343334530688305
1993-11-24,0.00021867593975561611
1993-11-30,-0.0003079313651063139
1993-12-01,0.00031823418678303194
1993-12-02,0.00013726213551818584
1993-12-03,0.00044342143797300096
1993-12-06,-5.140772554508093e-07
1993-12-07,0.00011312219003525522
1993-12-08,4.849450140331657e-05
1993-12-09,0.00013120935769430728
1993-12-10,0.0004614284072292723
1993-12-13,0.00042073931191732617
1993-12-14,-0.00048044586377928586
1993-12-15,-0.0007398754812331538
1993-12-16,-0.0007038324585661272
1993-12-17,-0.0012236474378982225
1993-12-20,-0.0015407845283210927
1994-01-05,-0.0009640917271787772
1994-01-10,-0.001495274708283815
1994-01-11,-0.001698867639539091
1994-01-12,-0.00034721137047941445
1994-01-13,0.00018180338048088177
1994-01-14,7.858046427309276e-05
1994-01-19,0.0010537655751095268
1994-01-20,0.00038261423862462953
1994-01-21,0.0003057787244175109
1994-02-01,0.0001538284215849
1994-02-02,0.0004951401129727503
1994-02-03,0.0004428771417580152
1994-02-04,-0.0008622641768938881
1994-02-07,0.004769623911420041
1994-02-08,0.0052955273791976
1994-02-09,0.005620071394640698
1994-02-15,0.006233155256736728
1994-02-16,0.005910219062691058
1994-02-17,0.005687303927608148
1994-02-18,0.006627732239099769
1994-02-23,0.006497164789266686
1994-02-24,0.009620231652095865
1994-02-25,0.009790930760447984
1994-02-28,0.009814876593177283
1994-03-01,0.009830836845528
1994-03-02,0.012172096905170987
1994-03-03,0.011870671023235246
1994-03-04,0.011520132484949198
1994-03-07,0.011506092564393307
1994-03-08,0.011530365354449089
1994-03-09,0.011464026397730814
1994-03-10,0.011203442927565643
1994-03-11,0.011289045812986412
1994-03-14,0.01207539828411578
1994-03-15,0.012305402110963502
1994-03-16,0.012148405778716651
1994-03-17,0.011966271816739506
1994-03-18,0.011566455337048294
1994-03-21,0.012120019166916681
1994-03-22,0.01226000883819734
1994-03-23,0.014802124092041109
1994-03-24,0.01637863659773955
1994-03-25,0.016623672252967205
1994-03-28,0.017967862243988483
1994-03-29,0.017350450454938687
1994-03-30,0.019860352097474082
1994-03-31,0.018499588755520265
1994-04-07,0.01914160853829581
1994-04-08,0.019486584010228222
1994-04-11,0.01910658948303699
1994-04-12,0.019270998913982484
1994-04-13,0.019402112709326534
1994-04-14,0.01917149648182422
1994-04-15,0.019320304210970845
1994-04-18,0.01940573478328502
1994-04-19,0.020151635069929535
1994-04-20,0.02005032732090648
1994-04-21,0.019239630564528872
1994-04-22,0.019387314497616076
1994-04-25,0.020567879574400316
1994-04-26,0.02048614583134136
1994-04-29,0.020784278842631624
1994-05-04,0.020446590835374173
1994-05-05,0.020513683863805966
1994-05-06,0.018873773015235563
1994-05-09,0.019903730647622055
1994-05-10,0.019941557887684282
1994-05-11,0.018455431945006113
1994-05-16,0.018416483293562685
1994-05-17,0.018155971145869056
1994-05-18,0.01820526072599045
1994-05-19,0.018812950930805716
1994-05-20,0.019060547073009665
1994-05-25,0.01930720742505064
